video_id,hour1_views,hour1_likes,hour1_comments,channel_id,publish_time,category,subscriber_count,avg_last10_views,duration_seconds,hook_probability,motion_intensity_3s,face_ratio_3s,cuts_first3s,hook_audio_intensity,tempo_bpm,hook_text_ratio
zHvMWCc043w,733,5,0,UCGJSTmPMXJx866gYWc79drQ,2026-02-26T08:33:32Z,People & Blogs,20900,491.9,23,0.598416197240591,4.876675605773926,1.0,0.0,0.0334350541234016,135.99917763157896,0.0
fY0xF894e9I,265,0,0,UCuk_LfieEUkkuDpoKd-qsxg,2026-02-26T08:35:08Z,Education,12800,901.1,47,0.2272532372866821,7.909852027893066,0.0,0.0,0.0388441272079944,139.6748310810811,0.0
GRqvVEQZM5k,42,1,0,UCj80Cn4NCasuzb8jidQ1nXg,2026-02-26T08:35:00Z,Entertainment,29800,3765.2,60,0.0110317293549064,9.84486484527588,0.25,0.0,0.2778949439525604,139.6748310810811,0.5
7bs3poNAgY0,813,0,0,UChm7aDInMrfRV-t3GjPJ6VA,2026-02-26T08:31:56Z,People & Blogs,27600,12203.8,43,0.0624577469116833,12.644447326660156,0.25,0.6666666666666666,0.1850276887416839,184.5703125,0.0
ZI_0CtKmtlk,586,0,0,UC8QlN8iMDJ2nJVsW1wnjwOg,2026-02-26T08:30:18Z,People & Blogs,53100,6211.8,36,0.0862043602341934,11.015326499938965,0.0,0.6666666666666666,0.0961718931794166,132.51201923076923,0.0
cyQJVwYLb6M,2834,22,0,UCsz1e5DZfPrXF8CTJx7cP8A,2026-02-26T08:58:43Z,People & Blogs,21000,1948.8,14,0.5925399347662457,11.453436851501465,1.0,0.0,0.0914499014616012,135.99917763157896,0.5
SEbsXW14-lI,604,39,1,UCCvm01wvc564ropgDZnEYJw,2026-02-26T09:08:31Z,People & Blogs,47800,105113.3,38,0.0057133506058138,8.1650390625,0.3333333333333333,1.3333333333333333,0.3213643729686737,126.04801829268293,1.0
yG2ATigq-wA,865,3,0,UCm_w2xoD1yzluOBt_LRvI-g,2026-02-26T08:53:14Z,People & Blogs,10700,1406.5,17,0.3808056350429232,13.82075023651123,1.0,0.0,0.1344631165266037,161.4990234375,0.0
DUC7OnCK_1I,2078,34,0,UC70Oletc9woF6EBndN0AcuA,2026-02-26T09:37:56Z,People & Blogs,18000,14203.1,19,0.1276326538133173,12.975186347961426,0.3333333333333333,0.6666666666666666,0.2963122725486755,132.51201923076923,0.0
CyHjFNdPSUk,22875,1618,8,UC8Aw9Fu4CzjBMrmtc4254tw,2026-02-26T09:30:07Z,People & Blogs,44500,182023.7,52,0.1116405326144089,12.114303588867188,1.0,0.0,0.1122884899377822,114.84375,0.0
PAU4M3H0_C4,640,13,0,UCTyrOTAu3I24oxMIb6acxwA,2026-02-26T09:30:13Z,People & Blogs,21800,1057.0,11,0.3771361225692398,7.816663265228271,0.25,0.6666666666666666,0.0825492963194847,93.9630681818182,1.0
46fg_2kLagE,144,2,0,UCQb1-NMcIDpDDL7i4IHlwgw,2026-02-26T09:27:16Z,Howto & Style,37700,2371.6,59,0.0572428048974399,2.994685649871826,0.0,0.0,0.0065322713926434,184.5703125,0.0
Yh4zC1m9wxg,2182,17,0,UCvBGUYYpfEVHtGI0gVi5g_g,2026-02-26T09:24:20Z,People & Blogs,15900,14618.6,11,0.1298763139411687,3.5439162254333496,1.0,0.0,0.2588264346122741,178.20581896551724,0.0
VbCubeC5NM0,672,7,0,UCpbmUbKbXwoaZRXW26EScig,2026-02-26T10:07:16Z,People & Blogs,93600,2508.3,34,0.2113008206772945,9.66196346282959,0.0,0.6666666666666666,0.103481501340866,191.40625,0.0
